player_id,player_name,team,team_id,league_id,games_played,games_started,min,pts,fgm,fga,fg_pct,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,ftm,fta,ft_pct,def,off,reb,ast,stl,to,pf,pfa,blk,blka,rate
0055eaba4c49,לינוי רביע,הפועל ראשון לציון,520,11,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
012d87862714,אופק טלקר,הפועל באר שבע/דימונה,10197,11,1,1,31.0,10.0,3.0,6.0,50.0,1.0,3.0,33.3,2.0,3.0,66.7,2.0,2.0,100.0,2.0,0.0,2.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,4.0
015c44ecd8bd,לורן קסנטיני,מכבי עירוני רמת גן,210,11,1,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0a1525993ece,דיאישה פר,הפועל לב ירושלים פארק בית הכרם,7735,11,2,2,35.0,19.0,7.0,17.5,40.0,4.0,8.0,50.0,3.0,9.5,31.6,2.0,2.5,80.0,4.0,1.0,5.0,2.5,1.5,5.0,2.5,2.5,0.0,0.0,12.0
0faa11504f2e,שיר תירוש,מכבי עירוני רמת גן,210,11,2,2,35.5,16.0,6.0,17.0,35.3,3.5,10.5,33.3,2.5,6.5,38.5,1.5,2.0,75.0,3.5,0.0,3.5,5.0,2.5,2.5,3.0,1.5,0.0,1.0,10.5
18d0c864e552,אמליה רמביסווסקה,מכבי חיפה הפניקס,864,11,2,2,29.0,3.5,1.5,7.0,21.4,1.0,3.0,33.3,0.5,4.0,12.5,0.0,0.0,0.0,2.5,0.5,3.0,1.5,0.5,2.0,3.0,1.0,0.0,0.0,-1.0
1c39a839e373,שרידנה גרין,אליצור נוה דוד רמלה,2100,11,1,0,14.0,4.0,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0
237dd2d18c29,אופיר קירשטיין,אליצור נוה דוד רמלה,2100,11,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2507e399352e,נועה וואשדי,בנות פתח תקווה,181,11,1,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
278ab7f23c57,אליסון זלין,הפועל באר שבע/דימונה,10197,11,1,0,6.0,2.0,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,-3.0
28b73db904a0,רותם שטיקלרו,הפועל ראשון לציון,520,11,2,0,8.5,1.5,0.5,2.5,20.0,0.5,2.0,25.0,0.0,0.5,0.0,0.5,1.0,50.0,1.0,0.5,1.5,0.0,0.5,0.0,0.5,1.0,0.0,0.0,1.5
2a911aac485d,ג'וליה ניילקנה,הפועל ראשון לציון,520,11,2,0,10.0,2.5,1.0,2.0,50.0,0.5,1.5,33.3,0.5,0.5,100.0,0.0,0.5,0.0,1.0,0.5,1.5,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.5
3108b443fb70,מאי דיין,בנות פתח תקווה,181,11,1,1,32.0,2.0,1.0,4.0,25.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,-3.0
332621c45c09,ג'לייה ג'ונסון,הפועל באר שבע/דימונה,10197,11,1,0,16.0,12.0,6.0,11.0,54.5,6.0,10.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,6.0
340184fb58b4,בטי מונונגה,מכבי חיפה הפניקס,864,11,2,0,27.5,8.0,3.0,9.0,33.3,3.0,8.5,35.3,0.0,0.5,0.0,2.0,2.5,80.0,7.0,4.0,11.0,2.5,2.5,3.5,4.0,2.0,0.0,0.5,11.5
3dbddb2585f7,מעיין כהן,אליצור חולון,907,11,2,0,25.0,11.0,4.5,12.5,36.0,2.5,5.0,50.0,2.0,7.5,26.7,0.0,0.0,0.0,2.0,0.5,2.5,2.0,0.0,0.5,1.5,0.5,0.0,0.5,5.5
3e6104526d54,אליסה בארון,אליצור חולון,907,11,2,2,36.5,19.5,6.5,16.0,40.6,3.0,7.0,42.9,3.5,9.0,38.9,3.0,3.0,100.0,6.5,0.5,7.0,1.5,4.0,4.0,2.5,3.5,0.5,0.0,20.0
416190ab8d23,פז תשובה,בנות פתח תקווה,181,11,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4501f2682cd8,אימארי תומס,מכבי עירוני רמת גן,210,11,2,2,29.0,12.0,5.5,10.5,52.4,4.5,8.0,56.2,1.0,2.5,40.0,0.0,0.0,0.0,5.5,1.5,7.0,2.0,1.5,0.5,1.5,1.0,0.5,0.5,16.5
