player_id,player_name,team,team_id,league_id,games_played,games_started,min,pts,fgm,fga,fg_pct,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,ftm,fta,ft_pct,def,off,reb,ast,stl,to,pf,pfa,blk,blka,rate
09fe56418b4a,אורי עובדיה,הפועל מגדל העמק/יזרעאל,2267,1,1,0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0
0ee4eed73fd4,עמית סנקר,א.ס. עירוני אשקלון,920,1,1,1,27.0,5.0,2.0,3.0,66.7,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0
0f24f1e6a9a9,יהל פלג,הפועל מגדל העמק/יזרעאל,2267,1,1,1,25.0,12.0,4.0,11.0,36.4,2.0,7.0,28.6,2.0,4.0,50.0,2.0,5.0,40.0,4.0,0.0,4.0,4.0,2.0,2.0,2.0,3.0,0.0,1.0,10.0
14b5ed1cbd20,וינס קול,אליצור שומרון,4083,1,1,1,32.0,19.0,7.0,14.0,50.0,5.0,9.0,55.6,2.0,5.0,40.0,3.0,4.0,75.0,4.0,0.0,4.0,2.0,1.0,3.0,3.0,4.0,1.0,0.0,17.0
15a5266b0c2f,יוגב עובדיה,מכבי חיפה,69,1,1,0,12.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-4.0
195b4fff4614,ים שפריר,מ.כ עוטף דרום,12645,1,1,0,16.0,5.0,2.0,5.0,40.0,1.0,1.0,100.0,1.0,4.0,25.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,9.0
19fce21a0577,מתן שטרייט,מ.כ עוטף דרום,12645,1,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
205739335cb7,אלון דניאלי,מכבי קרית גת,3043,1,1,0,6.0,5.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0
21681d98f1d8,אביתר מור יוסף,מכבי חיפה,69,1,1,1,22.0,7.0,3.0,10.0,30.0,2.0,3.0,66.7,1.0,7.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
26989fc69037,אביב קוקוטק,א.ס. עירוני אשקלון,920,1,1,0,2.0,3.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
27c13b8b0562,רותם לוינשטיין,הפועל חיפה,4153,1,1,0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,-1.0
2a7ab3e40e64,שחר שלמון,מכבי אשדוד,7261,1,1,0,27.0,6.0,2.0,8.0,25.0,0.0,1.0,0.0,2.0,7.0,28.6,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
2b2dfc45fcc5,עידו רוימי,הפועל חיפה,4153,1,1,1,30.0,12.0,3.0,8.0,37.5,0.0,1.0,0.0,3.0,7.0,42.9,3.0,4.0,75.0,4.0,0.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,10.0
2cd8e7a7012c,ברנדון באומן,א.ס. עירוני אשקלון,920,1,1,0,25.0,15.0,5.0,11.0,45.5,2.0,7.0,28.6,3.0,4.0,75.0,2.0,4.0,50.0,1.0,6.0,7.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,12.0
364ac45fe798,זיו מעוז,מכבי קרית גת,3043,1,1,0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-3.0
383cbcce0e66,יהלי שושן,אליצור יבנה,168,1,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
3877172f6392,ריקי פאק,מ.כ עוטף דרום,12645,1,1,1,29.0,26.0,7.0,14.0,50.0,7.0,12.0,58.3,0.0,2.0,0.0,12.0,16.0,75.0,3.0,0.0,3.0,5.0,1.0,3.0,2.0,10.0,0.0,0.0,29.0
