game_id,team,player,minutes,points,fg_made,fg_attempted,fg_pct,fg2_made,fg2_attempted,fg2_pct,fg3_made,fg3_attempted,fg3_pct,ft_made,ft_attempted,ft_pct,def_rebounds,off_rebounds,total_rebounds,assists,steals,turnovers,fouls,fouls_drawn,blocks,blocked,efficiency,plus_minus
26390,מכבי רמת גן,ג'ורדן פלויד,25,15,6,11,55,3,6,50,3,5,60,0,0,0,1,0,1,6,3,4,2,0,0,0,14,9
26390,מכבי רמת גן,גיל בני,16,5,1,2,50,0,1,0,1,1,100,2,2,100,1,0,1,6,0,1,4,5,0,0,11,19
26390,מכבי רמת גן,ז'ורדאן ניקוליס,18,8,4,6,67,4,6,67,0,0,0,0,2,0,6,3,9,1,0,2,3,1,0,0,10,-3
26390,מכבי רמת גן,עמית אלון,12,5,2,4,50,1,2,50,1,2,50,0,0,0,2,0,2,0,0,0,1,2,0,0,6,8
26390,מכבי רמת גן,עידן חכמון,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
26390,מכבי רמת גן,יונתן אטיאס,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26390,מכבי רמת גן,דריון אטקינס,21,6,2,4,50,2,4,50,0,0,0,2,4,50,5,3,8,2,0,0,3,2,1,0,12,29
26390,מכבי רמת גן,רונאלדו סגו,26,19,6,9,67,5,6,83,1,3,33,6,7,86,2,1,3,4,1,5,1,5,0,0,22,-2
26390,מכבי רמת גן,אדם אריאל,30,8,3,9,33,1,3,33,2,6,33,0,0,0,1,1,2,0,2,0,0,2,0,0,8,8
26390,מכבי רמת גן,דרו קרופורד,25,6,2,6,33,0,1,0,2,5,40,0,0,0,3,0,3,0,1,1,0,0,0,1,4,5
26390,מכבי רמת גן,אייזיה אייזנדורף,24,12,4,8,50,2,3,67,2,5,40,2,3,67,6,0,6,2,0,0,4,3,1,0,15,18
26390,מכבי רמת גן,אור גטה,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3
26390,מכבי רמת גן,"סה""כ",200,84,30,60,50,18,33,55,12,27,44,12,18,67,27,9,36,21,7,13,18,20,2,1,102,0
26390,מכבי ראשון לציון,קווה גרנט,25,4,2,11,18,2,8,25,0,3,0,0,0,0,2,4,6,3,1,2,5,4,0,0,2,-14
26390,מכבי ראשון לציון,בן אייזנהארט,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-2,3
26390,מכבי ראשון לציון,אמין סטיבנס,21,8,4,8,50,4,8,50,0,0,0,0,1,0,3,2,5,3,0,2,2,2,0,1,8,-19
26390,מכבי ראשון לציון,קאליל אחמד,36,20,8,17,47,6,12,50,2,5,40,2,2,100,2,1,3,3,2,3,2,4,0,1,17,-13
26390,מכבי ראשון לציון,מרכוס וויליאמס,24,14,5,9,56,1,3,33,4,6,67,0,4,0,3,2,5,1,0,1,4,4,0,0,11,-10
26390,מכבי ראשון לציון,גולן גוט,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-7
26390,מכבי ראשון לציון,אורי זהבי,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
26390,מכבי ראשון לציון,ג'וש פרוינד,15,3,1,7,14,0,0,0,1,7,14,0,0,0,2,0,2,2,0,0,2,0,0,0,-1,-5
26390,מכבי ראשון לציון,ליאור ברמן,11,3,1,3,33,0,2,0,1,1,100,0,0,0,1,0,1,0,1,1,0,1,0,0,3,2
26390,מכבי ראשון לציון,ג'יי.ג'יי קפלן,26,3,1,4,25,0,0,0,1,4,25,0,0,0,3,2,5,0,3,2,2,0,1,0,5,-12
26390,מכבי ראשון לציון,די.ג'יי ברנס,36,12,4,11,36,3,7,43,1,4,25,3,6,50,8,8,16,2,2,3,1,3,0,0,21,-13
26390,מכבי ראשון לציון,"סה""כ",200,67,26,71,37,16,40,40,10,31,32,5,13,38,25,21,46,14,9,16,20,18,1,2,64,0
