game_id,team,player,minutes,points,fg_made,fg_attempted,fg_pct,fg2_made,fg2_attempted,fg2_pct,fg3_made,fg3_attempted,fg3_pct,ft_made,ft_attempted,ft_pct,def_rebounds,off_rebounds,total_rebounds,assists,steals,turnovers,fouls,fouls_drawn,blocks,blocked,efficiency,plus_minus
26392,הפועל באר שבע/דימונה,נווה בן שמן,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,5
26392,הפועל באר שבע/דימונה,עופרי שטרית,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26392,הפועל באר שבע/דימונה,טארין טוד,15,8,3,6,50,1,4,25,2,2,100,0,0,0,0,0,0,1,1,1,1,1,0,0,6,-17
26392,הפועל באר שבע/דימונה,נטע סגל,7,2,1,2,50,1,1,100,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-18
26392,הפועל באר שבע/דימונה,סי.ג'יי אלבי,36,20,8,14,57,5,7,71,3,7,43,1,2,50,9,3,12,3,0,3,2,2,0,1,24,-15
26392,הפועל באר שבע/דימונה,עמית גרשון,25,16,6,9,67,2,3,67,4,6,67,0,0,0,0,0,0,1,1,1,3,4,0,0,15,2
26392,הפועל באר שבע/דימונה,ברנדון אנג'ל,30,16,4,12,33,1,5,20,3,7,43,5,6,83,5,0,5,1,0,2,1,4,0,0,14,-9
26392,הפועל באר שבע/דימונה,סם איוריו,21,3,1,2,50,0,1,0,1,1,100,0,0,0,1,2,3,2,0,0,2,1,0,0,6,-12
26392,הפועל באר שבע/דימונה,יואב ויטלם,28,11,4,6,67,3,5,60,1,1,100,2,3,67,4,0,4,10,1,2,2,3,0,1,21,3
26392,הפועל באר שבע/דימונה,מייקל פוסטר ג'וניור,27,10,3,10,30,1,6,17,2,4,50,2,2,100,3,2,5,0,1,2,2,3,1,0,9,-8
26392,הפועל באר שבע/דימונה,קודי דמפס,9,6,2,2,100,1,1,100,1,1,100,1,2,50,0,0,0,2,1,0,5,1,0,0,4,8
26392,הפועל באר שבע/דימונה,"סה""כ",200,92,32,63,51,15,33,45,17,30,57,11,15,73,23,8,31,21,5,12,18,19,2,2,103,0
26392,מכבי תל אביב,ג'ימי קלארק,21,8,3,8,38,1,2,50,2,6,33,0,0,0,0,1,1,6,2,1,2,0,0,0,9,23
26392,מכבי תל אביב,מרסיו סנטוס,21,17,5,6,83,5,5,100,0,1,0,7,8,88,0,2,2,0,0,1,5,4,1,0,16,28
26392,מכבי תל אביב,גור לביא,18,2,1,2,50,1,1,100,0,1,0,0,0,0,3,1,4,1,0,1,3,2,0,0,4,-7
26392,מכבי תל אביב,אורן סהר,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,-5
26392,מכבי תל אביב,לוני ווקר,18,6,3,7,43,3,3,100,0,4,0,0,0,0,3,0,3,1,0,2,1,0,0,0,3,11
26392,מכבי תל אביב,רומן סורקין,18,9,4,11,36,4,9,44,0,2,0,1,1,100,2,4,6,3,0,1,1,2,0,0,11,-7
26392,מכבי תל אביב,אושיי בריסט,16,11,2,6,33,2,4,50,0,2,0,7,11,64,5,1,6,0,0,0,0,6,0,1,14,7
26392,מכבי תל אביב,וויל ריימן,11,0,0,3,0,0,1,0,0,2,0,0,0,0,3,1,4,1,1,0,2,0,0,0,1,-3
26392,מכבי תל אביב,ג'ון דיברתולומיאו,23,18,6,8,75,0,0,0,6,8,75,0,0,0,2,3,5,3,0,0,2,1,0,0,23,7
26392,מכבי תל אביב,ג'ף דאוטין ג'וניור,20,11,4,9,44,2,4,50,2,5,40,1,2,50,2,1,3,6,1,2,1,3,1,0,16,-2
26392,מכבי תל אביב,טי.ג'יי ליף,20,13,6,8,75,5,7,71,1,1,100,0,0,0,4,2,6,1,0,2,2,0,0,0,14,4
26392,מכבי תל אביב,תמיר בלאט,13,9,3,5,60,0,1,0,3,4,75,0,0,0,0,0,0,5,0,0,0,0,0,0,12,4
26392,מכבי תל אביב,"סה""כ",200,104,37,74,50,23,38,61,14,36,39,16,22,73,26,18,44,27,4,10,19,18,2,2,125,0
