game_id,team,player,minutes,points,fg_made,fg_attempted,fg_pct,fg2_made,fg2_attempted,fg2_pct,fg3_made,fg3_attempted,fg3_pct,ft_made,ft_attempted,ft_pct,def_rebounds,off_rebounds,total_rebounds,assists,steals,turnovers,fouls,fouls_drawn,blocks,blocked,efficiency,plus_minus
26391,הפועל תל אביב,כריס ג'ונס,16,6,2,6,33,2,3,67,0,3,0,2,4,50,1,0,1,4,1,1,0,2,0,0,7,5
26391,הפועל תל אביב,אנטוניו בלייקני,14,3,0,8,0,0,4,0,0,4,0,3,3,100,1,0,1,1,0,1,1,2,0,1,-4,0
26391,הפועל תל אביב,סנדי כהן,6,2,1,1,100,1,1,100,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,-4
26391,הפועל תל אביב,איתי שגב,17,11,3,4,75,3,4,75,0,0,0,5,5,100,2,3,5,0,0,0,1,4,1,0,19,1
26391,הפועל תל אביב,גיא פלטין,24,3,1,4,25,0,1,0,1,3,33,0,0,0,3,1,4,1,0,0,3,1,0,0,3,10
26391,הפועל תל אביב,בר טימור,16,11,3,6,50,3,4,75,0,2,0,5,6,83,0,0,0,2,0,3,3,4,0,0,7,3
26391,הפועל תל אביב,טיילר אניס,23,18,7,14,50,6,9,67,1,5,20,3,3,100,1,1,2,4,3,0,2,5,0,0,23,21
26391,הפועל תל אביב,עוז בלייזר,20,2,0,3,0,0,1,0,0,2,0,2,2,100,1,3,4,3,0,1,2,2,0,0,5,14
26391,הפועל תל אביב,קולין מלקולם,7,3,1,3,33,1,1,100,0,2,0,1,2,50,4,1,5,0,0,0,0,1,0,0,6,5
26391,הפועל תל אביב,טאי אודיאסי,23,14,7,12,58,7,12,58,0,0,0,0,1,0,1,2,3,0,0,1,3,4,0,1,10,14
26391,הפועל תל אביב,תומר גינת,20,10,4,10,40,3,9,33,1,1,100,1,2,50,5,5,10,1,1,0,1,1,0,3,12,-1
26391,הפועל תל אביב,יפתח זיו,14,14,3,5,60,2,3,67,1,2,50,7,7,100,5,0,5,3,0,3,0,4,0,0,21,7
26391,הפועל תל אביב,"סה""כ",200,97,32,76,42,28,52,54,4,24,17,29,35,83,25,21,46,19,5,11,16,30,1,5,116,0
26391,עירוני קריית אתא,תומר אסייג,24,8,4,7,57,4,6,67,0,1,0,0,0,0,1,0,1,6,1,3,2,3,0,0,11,-9
26391,עירוני קריית אתא,ג'מיה ניל,33,11,5,12,42,4,8,50,1,4,25,0,0,0,4,0,4,0,0,3,2,0,1,0,4,-15
26391,עירוני קריית אתא,נואה לוק,21,7,2,15,13,1,6,17,1,9,11,2,2,100,2,1,3,1,0,2,1,1,0,1,-5,-10
26391,עירוני קריית אתא,בודי יום,20,7,3,5,60,3,4,75,0,1,0,1,1,100,4,2,6,1,1,2,5,2,2,0,10,-5
26391,עירוני קריית אתא,אילי דולינסקי,13,4,1,4,25,1,3,33,0,1,0,2,2,100,3,1,4,1,0,0,5,3,0,0,4,-18
26391,עירוני קריית אתא,גל בייטנר,14,4,1,1,100,0,0,0,1,1,100,1,2,50,1,0,1,6,1,1,1,1,0,0,10,-2
26391,עירוני קריית אתא,מאליק הול,17,17,7,9,78,6,8,75,1,1,100,2,5,40,4,3,7,1,0,3,5,4,1,0,17,-7
26391,עירוני קריית אתא,דריוס האנה,24,8,4,6,67,4,5,80,0,1,0,0,1,0,4,1,5,0,1,1,3,1,1,0,9,0
26391,עירוני קריית אתא,דור ענבי,12,10,5,5,100,5,5,100,0,0,0,0,0,0,2,2,4,0,0,0,3,1,0,0,12,11
26391,עירוני קריית אתא,יובל הוכשטטר,22,6,3,6,50,3,5,60,0,1,0,0,0,0,0,0,0,1,1,1,3,0,0,0,1,-20
26391,עירוני קריית אתא,"סה""כ",200,82,35,70,50,31,50,62,4,20,20,8,13,62,27,11,38,17,5,16,30,16,5,1,76,0
