game_id,team,player,minutes,points,fg_made,fg_attempted,fg_pct,fg2_made,fg2_attempted,fg2_pct,fg3_made,fg3_attempted,fg3_pct,ft_made,ft_attempted,ft_pct,def_rebounds,off_rebounds,total_rebounds,assists,steals,turnovers,fouls,fouls_drawn,blocks,blocked,efficiency,plus_minus
26395,מכבי רעננה,ווילי וורקמן,14,4,1,2,50,1,2,50,0,0,0,2,2,100,1,1,2,0,2,1,3,1,0,0,4,21
26395,מכבי רעננה,ג'ייס טאונסנד,9,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-3,0
26395,מכבי רעננה,חסן דיארה,27,14,5,12,42,3,5,60,2,7,29,2,2,100,6,1,7,4,1,6,3,2,0,0,12,0
26395,מכבי רעננה,לנארד פרימן,30,11,5,9,56,5,9,56,0,0,0,1,3,33,6,3,9,1,1,1,0,2,0,2,15,2
26395,מכבי רעננה,חואקין שוכמן,35,15,4,11,36,4,7,57,0,4,0,7,8,88,2,1,3,7,4,2,2,8,2,0,27,11
26395,מכבי רעננה,נייט לאשבסקי,16,5,2,3,67,1,2,50,1,1,100,0,0,0,1,0,1,0,0,1,2,1,0,0,3,8
26395,מכבי רעננה,יותם חנוכי,22,13,6,13,46,5,8,62,1,5,20,0,0,0,4,0,4,1,0,2,0,3,1,0,13,-4
26395,מכבי רעננה,אלכס לדר,14,4,1,1,100,1,1,100,0,0,0,2,3,67,0,0,0,1,0,0,4,2,0,0,2,4
26395,מכבי רעננה,טייריס רדפורד,33,13,6,14,43,5,10,50,1,4,25,0,0,0,6,4,10,4,1,2,2,3,0,1,18,8
26395,מכבי רעננה,"סה""כ",200,79,30,67,45,25,45,56,5,22,23,14,18,78,29,11,40,18,9,17,16,22,3,3,94,0
26395,אליצור נתניה,סמאג'ה כריסטון,37,16,7,15,47,6,10,60,1,5,20,1,2,50,2,0,2,7,0,8,4,3,0,1,6,-8
26395,אליצור נתניה,שאק ביוקנן,30,15,7,11,64,6,8,75,1,3,33,0,0,0,2,0,2,2,0,2,4,0,0,0,9,-13
26395,אליצור נתניה,דורי סהר,21,0,0,7,0,0,3,0,0,4,0,0,0,0,1,1,2,1,0,1,2,0,0,1,-8,2
26395,אליצור נתניה,עידו שבת,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1
26395,אליצור נתניה,בוריס בוגוסלבסקי,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
26395,אליצור נתניה,מקסים פילוננקו,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
26395,אליצור נתניה,קיילב בון,15,6,2,4,50,2,3,67,0,1,0,2,4,50,4,2,6,2,0,2,2,2,0,0,8,-3
26395,אליצור נתניה,אוטיס פרייז'ר,34,11,4,12,33,2,4,50,2,8,25,1,2,50,4,2,6,4,3,4,4,4,2,0,13,-14
26395,אליצור נתניה,ניקו קרבאצ'ו,28,10,5,6,83,5,6,83,0,0,0,0,0,0,5,4,9,5,3,2,3,1,1,1,22,-6
26395,אליצור נתניה,אור קורנליוס,32,11,2,8,25,1,5,20,1,3,33,6,10,60,5,1,6,1,1,0,2,6,0,0,13,-11
26395,אליצור נתניה,"סה""כ",200,69,27,63,43,22,39,56,5,24,21,10,18,56,26,11,37,22,7,19,23,16,3,3,65,0
