Team_ID,League_ID,Team_Name,short_name,bg_color,text_color,name_variations
501,5,מכבי ראשון לציון,מכבי ראשון לציון,#FF3300,#FFFFFF,"מכבי ראשון לציון|מכבי ראשל""""צ איציק""|מכבי ראשל""צ איציק|מכבי ראשלצ איציק|ראשל""צ איציק|ראשל""צ ורד|ראשל""צ נרקיס"
803,4,בני הרצליה,בני הרצליה,#3366FF,#FFFFFF,בני הרצליה
486,4,הפועל חיפה,הפועל חיפה,#CC0000,#000000,הפועל חיפה|הפועל נווה שאנן חיפה|הפועל נווה שאנן חיפה שובל
483,4,הפועל עמק יזרעאל,הפועל עמק יזרעאל,#0000CC,#FFFFFF,הפועל מגדל העמק יזרעאל|הפועל מגדל יזרעאל|הפועל עמק יזרעאל
515,4,הפועל גליל עליון,הפועל גליל עליון,#990000,#FFFFFF,הפועל גליל גלבוע|הפועל גליל עליון|הפועל גליל עליון צפת|הפועל גליל תבור
552,4,מכבי חדרה,מכבי חדרה,#0066FF,#FFFFFF,מכבי חדרה|מכבי חדרה עמיחי
942,4,הפועל גלבוע מעיינות,הפועל גלבוע מעיינות,#990000,#FFFFFF,הפועל גלבוע מעיינות|הפועל גלבוע-מעיינות|הפועל גלבוע/מעיינות
487,4,מכבי חיפה,מכבי חיפה,#009900,#FFFFFF,מכבי חיפה|מכבי חיפה אסי|מכבי חיפה גיא|מכבי חיפה גיא נתן|מכבי חיפה הפניקס|מכבי חיפה עתודה
490,4,אליצור נתניה,אליצור נתניה,#FFFF00,#000000,אליצור נתניה|אליצור נתניה עירוני|אליצור עירוני נתניה
1762,4,"א.ס רמה""ש ירק השדה","א.ס רמה""ש ירק השדה",#000000,#FFFFFF,"א.ס רמה""ש ירק השדה|א.ס. רמת השרון"
10377,4,הפועל חוף הכרמל,הפועל חוף הכרמל,#00AA66,#FFFFFF,הפועל חוף הכרמל
4265,4,הפועל עמק חפר,הפועל עמק חפר,#FF6600,#000000,הפועל אלטשולר שחם עמק חפר|הפועל עמק חפר|הפועל עמק חפר אלטשול|הפועל עמק חפר רופין
1500,4,הפועל כפר סבא,הפועל כפר סבא,#33CC33,#000000,הפועל כפר סבא|הפועל כפר סבא אביב|הפועל כפר סבא שלום
4015,9,הפועל כפר סבא,הפועל כפר סבא,#33CC33,#000000,הפועל כפר סבא|הפועל כפר סבא אביב|הפועל כפר סבא שלום
10618,9,עירוני נס ציונה,עירוני נס ציונה,#FF5500,#FFFFFF,הפועל נס ציונה|הפועל נס ציונה חי מו|הפועל נס ציונה טל|הפועל נס ציונה לביאו|הפועל נס ציונה ליונס|הפועל נס ציונה רוטנש|הפועל נס ציונה תות|עירוני מ.רוטשטיין נס ציונה|עירוני נס ציונה
4633,9,אליצור נתניה,אליצור נתניה,#FFFF00,#000000,אליצור נתניה|אליצור נתניה עירוני|אליצור עירוני נתניה
1528,9,אליצור חולון,אליצור חולון,#9933FF,#FFFFFF,אליצור חולון|אליצור חולון שמיר
7733,9,הפועל לב ירושלים,הפועל לב ירושלים,#AA0000,#FFFFFF,הפועל לב ירושלים|הפועל לב ירושלים פארק בית הכרם|הפועל לב ירושלים צעירות
2904,9,מכבי חיפה,מכבי חיפה,#009900,#FFFFFF,מכבי חיפה|מכבי חיפה אסי|מכבי חיפה גיא|מכבי חיפה גיא נתן|מכבי חיפה הפניקס|מכבי חיפה עתודה
11609,9,מכבי תל אביב,מכבי תל אביב,#0033FF,#FFFF00,מכבי תל אביב|מכבי תל אביב טדי|מכבי תל אביב נועה
853,9,"א.ס רמה""ש ירק השדה","א.ס רמה""ש ירק השדה",#000000,#FFFFFF,"א.ס רמה""ש ירק השדה|א.ס. רמת השרון"
4625,9,הפועל ראשון לציון,הפועל ראשון לציון,#FF3300,#FFFFFF,"הפועל ראשון לציון|ראשל""צ איציק|ראשל""צ ורד|ראשל""צ יאיר|ראשל""צ כלנית"
952,9,מכבי רעננה,מכבי רעננה,#0066FF,#FFFFFF,מכבי רעננה|מכבי רעננה עירוני
336,9,הפועל עמק יזרעאל,הפועל עמק יזרעאל,#0000CC,#FFFFFF,הפועל מגדל העמק יזרעאל|הפועל מגדל יזרעאל|הפועל עמק יזרעאל
7465,9,מכבי הוד השרון,מכבי הוד השרון,#0099FF,#FFFFFF,מכבי הוד השרון|מכבי הוד השרון לילך
