league_id,gameid,League,Code,Week Day,Date,Round,Time,Home Team,Home Team Code,Away Team,Away Team Code,Venue,Home Score,Away Score
4,4_749161,נוער על צפון,749161,יום שני,08/12/2025,6,20:30,הפועל גלבוע מעיינות,942,מכבי חדרה,552,קיבוץ עין חרוד,,
4,4_749168,נוער על צפון,749168,יום שני,15/12/2025,7,18:00,בני הרצליה,803,הפועל גלבוע מעיינות,942,"אולם היובל, רח' רש""י 24, הרצליה",,
4,4_749169,נוער על צפון,749169,יום שני,15/12/2025,7,19:00,הפועל כפר סבא,1500,הפועל עמק יזרעאל,483,"היכל שלום, רח' אז""ר 51, כפר סבא",,
4,4_749171,נוער על צפון,749171,יום שני,15/12/2025,7,19:00,הפועל חוף הכרמל,10377,"א.ס רמה""ש ירק השדה",1762,"מרכז קהילתי מיר""ב, חוף הכרמל",,
4,4_749170,נוער על צפון,749170,יום שני,15/12/2025,7,20:00,הפועל עמק חפר,4265,מכבי חיפה,487,מועצה אזורית עמק חפר,,
4,4_749166,נוער על צפון,749166,יום שני,15/12/2025,7,20:30,הפועל גליל עליון,515,אליצור נתניה,490,"היכל הספורט, כפר בלום",,
4,4_749167,נוער על צפון,749167,יום שני,15/12/2025,7,20:30,מכבי חדרה,552,הפועל חיפה,486,"היכל אנרבוקס, רח' משמר הגבול 5, חדרה",,
4,4_749176,נוער על צפון,749176,יום שני,22/12/2025,8,19:00,מכבי חיפה,487,הפועל חוף הכרמל,10377,"רח' ביכורים 19, חיפה (עליון)",,
4,4_749177,נוער על צפון,749177,יום שני,22/12/2025,8,19:00,אליצור נתניה,490,"א.ס רמה""ש ירק השדה",1762,"ביה""ס ישורון, רח' שמואל הנציב פינת ברנר, נתניה",,
4,4_749174,נוער על צפון,749174,יום שני,22/12/2025,8,20:00,הפועל חיפה,486,בני הרצליה,803,"היכל הספורט רוממה, חיפה",,
4,4_749172,נוער על צפון,749172,יום שני,22/12/2025,8,20:30,הפועל עמק יזרעאל,483,הפועל עמק חפר,4265,אולם קיבוץ גבת,,
4,4_749175,נוער על צפון,749175,יום שני,22/12/2025,8,20:30,הפועל גליל עליון,515,מכבי חדרה,552,"היכל הספורט, כפר בלום",,
4,4_749173,נוער על צפון,749173,יום שני,22/12/2025,8,20:30,הפועל גלבוע מעיינות,942,הפועל כפר סבא,1500,קיבוץ עין חרוד,,
4,4_749179,נוער על צפון,749179,יום שני,29/12/2025,9,18:00,בני הרצליה,803,הפועל גליל עליון,515,"אולם היובל, רח' רש""י 24, הרצליה",,
4,4_749182,נוער על צפון,749182,יום שני,29/12/2025,9,19:00,הפועל חוף הכרמל,10377,הפועל עמק יזרעאל,483,"מרכז קהילתי מיר""ב, חוף הכרמל",,
4,4_749180,נוער על צפון,749180,יום שני,29/12/2025,9,19:00,הפועל כפר סבא,1500,הפועל חיפה,486,"היכל שלום, רח' אז""ר 51, כפר סבא",,
4,4_749183,נוער על צפון,749183,יום שני,29/12/2025,9,19:00,"א.ס רמה""ש ירק השדה",1762,מכבי חיפה,487,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
4,4_749181,נוער על צפון,749181,יום שני,29/12/2025,9,20:00,הפועל עמק חפר,4265,הפועל גלבוע מעיינות,942,מועצה אזורית עמק חפר,,
4,4_749178,נוער על צפון,749178,יום שני,29/12/2025,9,20:30,מכבי חדרה,552,אליצור נתניה,490,"היכל אנרבוקס, רח' משמר הגבול 5, חדרה",,
4,4_749189,נוער על צפון,749189,יום שני,05/01/2026,10,19:00,אליצור נתניה,490,מכבי חיפה,487,"ביה""ס ישורון, רח' שמואל הנציב פינת ברנר, נתניה",,
4,4_749186,נוער על צפון,749186,יום שני,05/01/2026,10,20:00,הפועל חיפה,486,הפועל עמק חפר,4265,"היכל הספורט רוממה, חיפה",,
4,4_749184,נוער על צפון,749184,יום שני,05/01/2026,10,20:30,הפועל עמק יזרעאל,483,"א.ס רמה""ש ירק השדה",1762,אולם קיבוץ גבת,,
4,4_749187,נוער על צפון,749187,יום שני,05/01/2026,10,20:30,הפועל גליל עליון,515,הפועל כפר סבא,1500,"היכל הספורט, כפר בלום",,
4,4_749188,נוער על צפון,749188,יום שני,05/01/2026,10,20:30,מכבי חדרה,552,בני הרצליה,803,"היכל אנרבוקס, רח' משמר הגבול 5, חדרה",,
4,4_749185,נוער על צפון,749185,יום שני,05/01/2026,10,20:30,הפועל גלבוע מעיינות,942,הפועל חוף הכרמל,10377,קיבוץ עין חרוד,,
4,4_749190,נוער על צפון,749190,יום שני,12/01/2026,11,18:00,בני הרצליה,803,אליצור נתניה,490,"אולם היובל, רח' רש""י 24, הרצליה",,
4,4_749195,נוער על צפון,749195,יום שני,12/01/2026,11,19:00,מכבי חיפה,487,הפועל עמק יזרעאל,483,"רח' ביכורים 19, חיפה (עליון)",,
4,4_749191,נוער על צפון,749191,יום שני,12/01/2026,11,19:00,הפועל כפר סבא,1500,מכבי חדרה,552,"היכל שלום, רח' אז""ר 51, כפר סבא",,
4,4_749194,נוער על צפון,749194,יום שני,12/01/2026,11,19:00,"א.ס רמה""ש ירק השדה",1762,הפועל גלבוע מעיינות,942,"קרית יערים, רח' יצחק אלחנן 13, רמת השרון",,
4,4_749193,נוער על צפון,749193,יום שני,12/01/2026,11,19:00,הפועל חוף הכרמל,10377,הפועל חיפה,486,"מרכז קהילתי מיר""ב, חוף הכרמל",,
4,4_749192,נוער על צפון,749192,יום שני,12/01/2026,11,20:00,הפועל עמק חפר,4265,הפועל גליל עליון,515,מועצה אזורית עמק חפר,,
